1,0.173,rotation
2,0.171,rotation
3,0.168,rotation
4,0.2,rotation
5,0.179,rotation
6,0.255,rotation
7,0.284,rotation
8,0.254,rotation
9,0.255,rotation
10,0.343,rotation
11,1.179,rotation
12,1.123,rotation
13,0.277,rotation
14,0.306,rotation
15,0.341,rotation
16,8.854,rotation
17,1.254,rotation
18,4.03,rotation
19,34.347,rotation
20,7.026,rotation
21,18.486,rotation
22,301.124,rotation
23,22.322,rotation
24,5.536,rotation
25,301.14,rotation
26,6.833,rotation
27,28.972,rotation
28,104.679,rotation
29,13.402,rotation
30,301.142,rotation
31,2.658,rotation
32,301.14,rotation
33,15.816,rotation
34,2.588,rotation
35,1.202,rotation
36,0.839,rotation
37,201.142,rotation
38,201.152,rotation
39,19.729,rotation
40,301.196,rotation
